Node,Centrality Type,Score
发表,Degree Centrality,0.5153985507246377
本报讯,Degree Centrality,0.4429347826086957
战胜,Degree Centrality,0.26992753623188404
力量,Degree Centrality,0.5846920289855072
社论,Degree Centrality,0.13360507246376813
纪念,Degree Centrality,0.3002717391304348
中国人民解放军,Degree Centrality,0.1716485507246377
指出,Degree Centrality,0.6798007246376812
我军,Degree Centrality,0.2341485507246377
人民,Degree Centrality,0.7504528985507246
解放,Degree Centrality,0.3111413043478261
民族,Degree Centrality,0.6163949275362319
胜利,Degree Centrality,0.39356884057971014
历史,Degree Centrality,0.7105978260869565
中国共产党,Degree Centrality,0.36186594202898553
领导,Degree Centrality,0.7278079710144928
科学,Degree Centrality,0.583786231884058
理论,Degree Centrality,0.5049818840579711
武装,Degree Centrality,0.297554347826087
坚强,Degree Centrality,0.20878623188405798
保卫,Degree Centrality,0.18568840579710144
社会主义,Degree Centrality,0.5516304347826086
祖国,Degree Centrality,0.5230978260869565
国家,Degree Centrality,0.7930253623188406
时刻,Degree Centrality,0.3002717391304348
改革,Degree Centrality,0.6408514492753623
处在,Degree Centrality,0.24682971014492755
阶段,Degree Centrality,0.5009057971014493
军队,Degree Centrality,0.4601449275362319
发展,Degree Centrality,0.7894021739130435
世界,Degree Centrality,0.738677536231884
战争,Degree Centrality,0.452445652173913
势力,Degree Centrality,0.19157608695652173
分裂,Degree Centrality,0.28125
值得,Degree Centrality,0.33242753623188404
关注,Degree Centrality,0.5398550724637681
斗争,Degree Centrality,0.47146739130434784
尖锐,Degree Centrality,0.12454710144927536
组织,Degree Centrality,0.7504528985507246
思想,Degree Centrality,0.5778985507246377
领域,Degree Centrality,0.5461956521739131
维护,Degree Centrality,0.5606884057971014
社会,Degree Centrality,0.7495471014492754
稳定,Degree Centrality,0.6159420289855072
长江,Degree Centrality,0.3029891304347826
洪水,Degree Centrality,0.20742753623188406
意味着,Degree Centrality,0.328804347826087
性质,Degree Centrality,0.3220108695652174
作风,Degree Centrality,0.24547101449275363
关系,Degree Centrality,0.6730072463768116
制度,Degree Centrality,0.5987318840579711
中华民族,Degree Centrality,0.38134057971014496
前途,Degree Centrality,0.21965579710144928
命运,Degree Centrality,0.29936594202898553
情况,Degree Centrality,0.7395833333333334
政治,Degree Centrality,0.6372282608695652
考验,Degree Centrality,0.24320652173913043
建设,Degree Centrality,0.7341485507246377
教育,Degree Centrality,0.6598731884057971
努力,Degree Centrality,0.6517210144927537
搞好,Degree Centrality,0.41349637681159424
头脑,Degree Centrality,0.16666666666666666
提供,Degree Centrality,0.6951992753623188
毛泽东,Degree Centrality,0.3677536231884058
军事,Degree Centrality,0.4791666666666667
邓小平,Degree Centrality,0.39492753623188404
时期,Degree Centrality,0.5801630434782609
指导,Degree Centrality,0.490036231884058
贯彻,Degree Centrality,0.37092391304347827
合格,Degree Centrality,0.26721014492753625
保障,Degree Centrality,0.5031702898550725
科技,Degree Centrality,0.6068840579710145
战略,Degree Centrality,0.5190217391304348
中国,Degree Centrality,0.8346920289855072
特色,Degree Centrality,0.47282608695652173
革命化,Degree Centrality,0.05253623188405797
现代化,Degree Centrality,0.526268115942029
提高,Degree Centrality,0.6653079710144928
水平,Degree Centrality,0.6014492753623188
记者,Degree Centrality,0.7554347826086957
报道,Degree Centrality,0.6671195652173914
广播,Degree Centrality,0.20923913043478262
北约,Degree Centrality,0.5040760869565217
评论,Degree Centrality,0.23731884057971014
节目,Degree Centrality,0.291213768115942
北京,Degree Centrality,0.7105978260869565
专家,Degree Centrality,0.6028079710144928
宣传,Degree Centrality,0.5230978260869565
制作,Degree Centrality,0.2980072463768116
显示,Degree Centrality,0.4311594202898551
整体,Degree Centrality,0.401268115942029
质量,Degree Centrality,0.5652173913043478
批准,Degree Centrality,0.4311594202898551
设立,Degree Centrality,0.4479166666666667
新华社,Degree Centrality,0.5688405797101449
主席,Degree Centrality,0.5792572463768116
今天下午,Degree Centrality,0.23958333333333334
人民大会堂,Degree Centrality,0.21784420289855072
会见,Degree Centrality,0.33016304347826086
越南,Degree Centrality,0.2708333333333333
团长,Degree Centrality,0.18931159420289856
代表团,Degree Centrality,0.38768115942028986
来访,Degree Centrality,0.2726449275362319
领导人,Degree Centrality,0.4904891304347826
推动,Degree Centrality,0.5774456521739131
交流,Degree Centrality,0.48007246376811596
合作,Degree Centrality,0.6295289855072463
友好,Degree Centrality,0.32019927536231885
交往,Degree Centrality,0.27898550724637683
友好合作,Degree Centrality,0.2056159420289855
意义,Degree Centrality,0.5701992753623188
