Node,Centrality Type,Score
指示,Degree Centrality,0.6029637199795607
毛主席,Degree Centrality,0.8405723045477773
战士,Degree Centrality,0.5958099131323454
文化,Degree Centrality,0.38937148696985185
革命,Degree Centrality,0.8579458354624426
工人,Degree Centrality,0.7792539601430762
欢呼,Degree Centrality,0.312212570260603
教育,Degree Centrality,0.6116504854368933
修正主义,Degree Centrality,0.624425140521206
毛泽东思想,Degree Centrality,0.7383750638732755
办好,Degree Centrality,0.17322432294328055
学校,Degree Centrality,0.596320899335718
地区,Degree Centrality,0.5835462442514052
学生,Degree Centrality,0.6377107818088912
当局,Degree Centrality,0.37301992846193155
镇压,Degree Centrality,0.35615738375063877
罪行,Degree Centrality,0.33214103219213087
参加,Degree Centrality,0.6857434849259071
游行,Degree Centrality,0.2146142054164538
抗议,Degree Centrality,0.2595809913132346
派出,Degree Centrality,0.23505365355135413
警察,Degree Centrality,0.30148185998978033
自治,Degree Centrality,0.0398569238630557
大学,Degree Centrality,0.38834951456310685
报道,Degree Centrality,0.39448134900357695
示威,Degree Centrality,0.28104241185487994
英勇,Degree Centrality,0.3796627491057742
展开,Degree Centrality,0.37710781808891164
激烈,Degree Centrality,0.34951456310679613
新华社,Degree Centrality,0.5625958099131324
美帝国主义,Degree Centrality,0.5217169136433317
侵略,Degree Centrality,0.4031681144609096
工具,Degree Centrality,0.32703117015840577
残酷,Degree Centrality,0.21921308124680636
畜牧业,Degree Centrality,0.05876341338783853
经济,Degree Centrality,0.5012774655084313
日益,Degree Centrality,0.3239652529381707
人民,Degree Centrality,0.8344404701073072
生活,Degree Centrality,0.48543689320388356
贫困,Degree Centrality,0.07460398569238631
斗争,Degree Centrality,0.7552376085845683
摆脱,Degree Centrality,0.171691364333163
控制,Degree Centrality,0.3234542667347982
沉重,Degree Centrality,0.19468574348492593
打击,Degree Centrality,0.4082779764946347
美帝,Degree Centrality,0.4052120592743996
反动,Degree Centrality,0.6300459887583036
统治,Degree Centrality,0.38426162493612676
方式,Degree Centrality,0.20541645375574863
贷款,Degree Centrality,0.08840061318344405
执行,Degree Centrality,0.45682166581502304
有利于,Degree Centrality,0.2156361778231988
政策,Degree Centrality,0.4435360245273378
强迫,Degree Centrality,0.1303014818599898
开放,Degree Centrality,0.07204905467552376
进口,Degree Centrality,0.1420541645375575
美国,Degree Centrality,0.649463464486459
帝国主义,Degree Centrality,0.4772611139499234
国家,Degree Centrality,0.6944302503832397
商品,Degree Centrality,0.14052120592743997
来自,Degree Centrality,0.3331630045988759
产品,Degree Centrality,0.2554931016862545
总额,Degree Centrality,0.03525804803270312
超过,Degree Centrality,0.2217680122636689
平均,Degree Centrality,0.13898824731732246
民族,Degree Centrality,0.4440470107307103
工业,Degree Centrality,0.3515585079202862
加深,Degree Centrality,0.18548799182422077
殖民地,Degree Centrality,0.09964230965763926
倾向,Degree Centrality,0.11088400613183445
政府,Degree Centrality,0.5273377618804292
增加,Degree Centrality,0.4491568727644354
税收,Degree Centrality,0.06591722023505366
工资,Degree Centrality,0.18344404701073072
办法,Degree Centrality,0.4210526315789474
劳动,Degree Centrality,0.6402657128257537
剥削,Degree Centrality,0.33673990802248344
罢工,Degree Centrality,0.3117015840572305
不顾,Degree Centrality,0.24680633622892184
勇敢,Degree Centrality,0.314256515074093
走上,Degree Centrality,0.25702606029637204
全国,Degree Centrality,0.5794583546244252
人士,Degree Centrality,0.10679611650485438
支持,Degree Centrality,0.56821665815023
山东省,Degree Centrality,0.09504343382728667
委员会,Degree Centrality,0.6371997956055188
出发,Degree Centrality,0.2728666326009198
公社,Degree Centrality,0.4634644864588657
情况,Degree Centrality,0.5998978027593256
电话,Degree Centrality,0.11599386816555954
年轻,Degree Centrality,0.10526315789473685
群众,Degree Centrality,0.7618804292284109
代表,Degree Centrality,0.6096065406234032
做法,Degree Centrality,0.15687276443536027
办公室,Degree Centrality,0.1931527848748084
汇报,Degree Centrality,0.14665304036791008
遵照,Degree Centrality,0.39652529381706697
工作者,Degree Centrality,0.2043944813490036
调查,Degree Centrality,0.27031170158405726
教导,Degree Centrality,0.6351558507920286
生产,Degree Centrality,0.7010730710270824
社员,Degree Centrality,0.4777721001532959
批判,Degree Centrality,0.5590189064895248
告诉,Degree Centrality,0.25600408788962703
学习,Degree Centrality,0.6709248850281043
著作,Degree Centrality,0.5140521205927441
懂得,Degree Centrality,0.26009197751660706
阶级,Degree Centrality,0.5937659683188554
敌人,Degree Centrality,0.6448645886561063
头脑,Degree Centrality,0.28002043944813493
学习班,Degree Centrality,0.4603985692386306
详细,Degree Centrality,0.08380173735309147
意见,Degree Centrality,0.34798160449667864
休息,Degree Centrality,0.16147164026571284
材料,Degree Centrality,0.21768012263668884
来到,Degree Centrality,0.3689320388349515
带来,Degree Centrality,0.24271844660194178
提出,Degree Centrality,0.5559529892692898
改进,Degree Centrality,0.16300459887583038
工作,Degree Centrality,0.7174246295350026
措施,Degree Centrality,0.36688809402146144
同志,Degree Centrality,0.7215125191619827
感动,Degree Centrality,0.1476750127746551
领导,Degree Centrality,0.6571282575370466
发现,Degree Centrality,0.3464486458865611
解决问题,Degree Centrality,0.15227388860500768
称赞,Degree Centrality,0.17373530914665306
军事,Degree Centrality,0.4368932038834952
代表团,Degree Centrality,0.2524271844660194
团长,Degree Centrality,0.13387838528359736
中国人民解放军,Degree Centrality,0.2784874808380174
宴会,Degree Centrality,0.08226877874297395
北京市,Degree Centrality,0.14869698518140012
负责人,Degree Centrality,0.37301992846193155
应邀出席,Degree Centrality,0.08635666836995402
充满,Degree Centrality,0.21819110884006135
热烈,Degree Centrality,0.4220746039856924
友好,Degree Centrality,0.2606029637199796
气氛,Degree Centrality,0.15789473684210528
中国,Degree Centrality,0.7915176290240165
伟大领袖,Degree Centrality,0.6198262646908534
毛泽东,Degree Centrality,0.39856923863055704
主席,Degree Centrality,0.4379151762902402
幸福,Degree Centrality,0.25498211548288197
战友,Degree Centrality,0.29739397036280024
接见,Degree Centrality,0.23811957077158918
领导人,Degree Centrality,0.2386305569749617
总统,Degree Centrality,0.2723556463975473
访问,Degree Centrality,0.312212570260603
思想,Degree Centrality,0.6453755748594788
中华人民共和国,Degree Centrality,0.2856412876852325
文化大革命,Degree Centrality,0.628513030148186
发生,Degree Centrality,0.41134389371486973
运动,Degree Centrality,0.542156361778232
发展,Degree Centrality,0.6607051609606541
印象,Degree Centrality,0.059785385794583555
传统,Degree Centrality,0.2677567705671947
林彪,Degree Centrality,0.170669391926418
指挥,Degree Centrality,0.27439959121103735
红旗,Degree Centrality,0.4394481349003577
事业,Degree Centrality,0.4261624936126725
革命化,Degree Centrality,0.4103219213081247
作出,Degree Centrality,0.38426162493612676
援助,Degree Centrality,0.2646908533469597
解放,Degree Centrality,0.5140521205927441
国际主义,Degree Centrality,0.16862544711292796
义务,Degree Centrality,0.16607051609606543
遵循,Degree Centrality,0.2825753704649975
事实,Degree Centrality,0.3633111905978539
证明,Degree Centrality,0.31578947368421056
军队,Degree Centrality,0.46244251405212067
目标,Degree Centrality,0.22892181911088402
为首,Degree Centrality,0.3311190597853858
国际,Degree Centrality,0.34695963208993363
殖民主义,Degree Centrality,0.21257026060296375
亚非,Degree Centrality,0.15431783341849772
团结,Degree Centrality,0.4322943280531426
做出,Degree Centrality,0.19468574348492593
努力,Degree Centrality,0.3847726111394993
指出,Degree Centrality,0.6070516096065407
越南,Degree Centrality,0.5232498722534492
全世界,Degree Centrality,0.3597342871742463
被压迫,Degree Centrality,0.21205927439959124
真理,Degree Centrality,0.24322943280531428
帝国主义者,Degree Centrality,0.18037812979049567
自由,Degree Centrality,0.3525804803270312
独立,Degree Centrality,0.30250383239652534
道路,Degree Centrality,0.5232498722534492
中国共产党,Degree Centrality,0.2611139499233521
辉煌,Degree Centrality,0.21308124680633625
胜利,Degree Centrality,0.657639243740419
友谊,Degree Centrality,0.2989269289729178
友好合作,Degree Centrality,0.0628513030148186
关系,Degree Centrality,0.41747572815533984
宝贵,Degree Centrality,0.15431783341849772
贡献,Degree Centrality,0.29330608073582015
非洲,Degree Centrality,0.2999489013796628
很大,Degree Centrality,0.4026571282575371
成就,Degree Centrality,0.24169647419519674
反帝,Degree Centrality,0.2514052120592744
革命斗争,Degree Centrality,0.36177823198773634
形势,Degree Centrality,0.4026571282575371
集团,Degree Centrality,0.5252938170669392
利用,Degree Centrality,0.4353602452733777
走狗,Degree Centrality,0.3193663771078181
疯狂,Degree Centrality,0.341338783852836
破坏,Degree Centrality,0.45733265201839557
干涉,Degree Centrality,0.12825753704649975
加紧,Degree Centrality,0.2948390393459377
阿拉伯,Degree Centrality,0.30250383239652534
活动,Degree Centrality,0.5896780786918754
粉碎,Degree Centrality,0.3597342871742463
阴谋,Degree Centrality,0.4542667347981605
夺取,Degree Centrality,0.42258559018906494
和平共处,Degree Centrality,0.06898313745528871
基础,Degree Centrality,0.41747572815533984
紧密,Degree Centrality,0.2105263157894737
世界,Degree Centrality,0.5472662238119571
联合,Degree Centrality,0.4997445068983138
建立,Degree Centrality,0.5917220235053654
符合,Degree Centrality,0.2161471640265713
亚洲,Degree Centrality,0.23096576392437407
拉丁美洲,Degree Centrality,0.2222789984670414
同情,Degree Centrality,0.10424118548799184
维护,Degree Centrality,0.2677567705671947
建设,Degree Centrality,0.5201839550332141
祖国,Degree Centrality,0.3929483903934594
出席,Degree Centrality,0.23607562595809917
率领,Degree Centrality,0.20797138477261115
谈话,Degree Centrality,0.19161982626469087
在座,Degree Centrality,0.039345937659683194
纪念,Degree Centrality,0.15380684721512522
司令部,Degree Centrality,0.29841594276954525
发表,Degree Centrality,0.4542667347981605
人民日报,Degree Centrality,0.12927950945324476
社论,Degree Centrality,0.342360756259581
出版,Degree Centrality,0.17833418497700565
北京,Degree Centrality,0.4368932038834952
发行,Degree Centrality,0.09708737864077671
工人阶级,Degree Centrality,0.565150740929995
天津市,Degree Centrality,0.13336739908022485
文章,Degree Centrality,0.42871742462953505
配合,Degree Centrality,0.23914154317833422
解放军,Degree Centrality,0.483903934593766
教员,Degree Centrality,0.15636177823198774
决心,Degree Centrality,0.5206949412365867
积极分子,Degree Centrality,0.23965252938170672
实行,Degree Centrality,0.4925907000510987
留下,Degree Centrality,0.13234542667347984
农村,Degree Centrality,0.5677056719468575
可靠,Degree Centrality,0.16658150229943794
管理,Degree Centrality,0.3341849770056209
掀起,Degree Centrality,0.3536024527337762
高潮,Degree Centrality,0.2876852324987226
心情,Degree Centrality,0.2672457843638222
激动,Degree Centrality,0.3300970873786408
体会,Degree Centrality,0.31987736331119065
主人,Degree Centrality,0.1303014818599898
旧社会,Degree Centrality,0.25804803270311705
时刻,Degree Centrality,0.3280531425651508
事情,Degree Centrality,0.27593254982115484
信任,Degree Centrality,0.20132856412876854
鼓舞,Degree Centrality,0.43076136944302507
资产阶级,Degree Centrality,0.6479305058763414
赫鲁晓夫,Degree Centrality,0.567194685743485
怀着,Degree Centrality,0.34951456310679613
复辟,Degree Centrality,0.3628002043944814
资本主义,Degree Centrality,0.5293817066939194
推行,Degree Centrality,0.37404190086867656
劳力,Degree Centrality,0.08277976494634645
