Node,Centrality Type,Score
总理,Degree Centrality,0.4746987951807229
社会主义,Degree Centrality,0.7185542168674699
国家,Degree Centrality,0.7999999999999999
铁路,Degree Centrality,0.22698795180722892
代表团,Degree Centrality,0.5204819277108433
宴会,Degree Centrality,0.21542168674698794
部长,Degree Centrality,0.32674698795180723
中国,Degree Centrality,0.7826506024096385
人民,Degree Centrality,0.8375903614457831
措施,Degree Centrality,0.5518072289156626
支持,Degree Centrality,0.6496385542168674
越南,Degree Centrality,0.7190361445783132
兄弟,Degree Centrality,0.5865060240963855
新华社,Degree Centrality,0.6959036144578313
越南民主共和国,Degree Centrality,0.43469879518072285
政府,Degree Centrality,0.6414457831325301
生产,Degree Centrality,0.7306024096385542
决心,Degree Centrality,0.5566265060240964
克服,Degree Centrality,0.4409638554216867
困难,Degree Centrality,0.6236144578313253
力量,Degree Centrality,0.6857831325301205
保卫,Degree Centrality,0.43662650602409636
支援,Degree Centrality,0.5257831325301204
解放,Degree Centrality,0.531566265060241
斗争,Degree Centrality,0.7595180722891566
参加,Degree Centrality,0.7773493975903614
合作,Degree Centrality,0.46072289156626506
组织,Degree Centrality,0.7440963855421686
主席,Degree Centrality,0.565301204819277
委员,Degree Centrality,0.27759036144578314
部门,Degree Centrality,0.5166265060240963
负责人,Degree Centrality,0.33879518072289155
应邀出席,Degree Centrality,0.1431325301204819
讲话,Degree Centrality,0.4669879518072289
美帝国主义,Degree Centrality,0.6573493975903614
侵略者,Degree Centrality,0.4939759036144578
战争,Degree Centrality,0.584578313253012
面临,Degree Centrality,0.30987951807228914
失败,Degree Centrality,0.47325301204819276
危机,Degree Centrality,0.22650602409638554
危险,Degree Centrality,0.3908433734939759
阴谋,Degree Centrality,0.4236144578313253
美国,Degree Centrality,0.7672289156626506
军队,Degree Centrality,0.5334939759036145
空军,Degree Centrality,0.2814457831325301
袭击,Degree Centrality,0.31662650602409637
侵犯,Degree Centrality,0.29927710843373495
阵营,Degree Centrality,0.21879518072289156
成员,Degree Centrality,0.35325301204819276
手段,Degree Centrality,0.3580722891566265
世界,Degree Centrality,0.6703614457831325
侵略,Degree Centrality,0.5874698795180723
推进,Degree Centrality,0.23180722891566263
爱国,Degree Centrality,0.4260240963855422
夺取,Degree Centrality,0.23566265060240962
胜利,Degree Centrality,0.632289156626506
全体,Degree Centrality,0.5108433734939759
爱好和平,Degree Centrality,0.2197590361445783
坚定,Degree Centrality,0.3474698795180723
前线,Degree Centrality,0.2689156626506024
旗帜,Degree Centrality,0.30650602409638555
正义斗争,Degree Centrality,0.26987951807228916
光辉,Degree Centrality,0.33879518072289155
革命,Degree Centrality,0.7999999999999999
和平,Degree Centrality,0.5508433734939758
民族,Degree Centrality,0.6366265060240963
独立,Degree Centrality,0.5253012048192771
民主,Degree Centrality,0.46602409638554215
事业,Degree Centrality,0.565301204819277
时说,Degree Centrality,0.3281927710843373
全国,Degree Centrality,0.6809638554216867
中国共产党,Degree Centrality,0.3720481927710843
领导,Degree Centrality,0.7320481927710843
全世界,Degree Centrality,0.46409638554216864
援助,Degree Centrality,0.38987951807228916
开幕,Degree Centrality,0.1653012048192771
发出,Degree Centrality,0.4009638554216867
命令,Degree Centrality,0.33638554216867467
罗马尼亚,Degree Centrality,0.38987951807228916
工人,Degree Centrality,0.7243373493975903
党中央,Degree Centrality,0.2910843373493976
同志,Degree Centrality,0.7667469879518072
日子,Degree Centrality,0.30746987951807225
自治区,Degree Centrality,0.2795180722891566
委员会,Degree Centrality,0.5585542168674699
机关,Degree Centrality,0.40240963855421685
部队,Degree Centrality,0.6106024096385542
学校,Degree Centrality,0.5281927710843374
港口,Degree Centrality,0.1672289156626506
湖南省,Degree Centrality,0.09542168674698795
专区,Degree Centrality,0.2621686746987952
干部,Degree Centrality,0.6134939759036144
农村,Degree Centrality,0.6187951807228915
人民公社,Degree Centrality,0.39325301204819274
生产队,Degree Centrality,0.4356626506024096
湖南,Degree Centrality,0.15710843373493974
