Year,Node,Average Similarity
1972,孩子,0.3702799772713767
1972,来到,0.3349399273392073
1972,贫农,0.3320814648773088
1972,民兵,0.32259115134907324
1972,感到,0.31930112344927564
1972,告诉,0.31799085169684055
1972,知识青年,0.31589814244098097
1972,激动,0.31491252121537233
1972,共产党员,0.3107715300609206
1972,亲切,0.3042597737336575
1972,战士,0.3036919625714248
1972,连队,0.3023285036690013
1972,成长,0.30011796656736106
1972,鼓励,0.29653458955676054
1972,关心,0.2953855804232664
1972,干部,0.29284851547590524
1972,生活,0.2869376382508943
1972,工人阶级,0.28621588742663695
1972,工作,0.28455708219214926
1972,介绍,0.28445198118340137
1972,群众,0.28435007612719093
1972,劳动,0.283991840191532
1972,接受,0.2820566591135291
1972,教育,0.28146540191630987
1972,同志,0.2810438700713391
1972,战友,0.27950337823740273
1972,培养,0.2781332219669292
1972,客人,0.27761306457741314
1972,学习,0.2769170836220647
1972,中国,0.27508925222033676
1972,工人,0.27388994417391543
1972,懂得,0.2721817253027545
1972,朋友,0.27215314340279545
1972,带领,0.2721464729239774
1972,找到,0.2696419871997002
1972,热情,0.2657348193488149
1972,社员,0.26322901188287623
1972,思想,0.2623772388973901
1972,表现,0.2623635639198298
1972,怀着,0.2623255283160265
1972,情况,0.2617618910275226
1972,党员,0.26123224310360327
1972,读书,0.26019892850240994
1972,生动,0.26000708974031517
1972,东西,0.2591683515455834
1972,过程,0.258147694430379
1972,希望,0.2575959336272506
1972,队伍,0.25732698664069176
1972,检查,0.25702995386754357
1972,学生,0.25692871308257414
1972,农村,0.255461115216793
1972,引导,0.2550137166886829
1972,学员,0.2548926747728919
1972,老工人,0.2544538663960127
1972,工地,0.2539323295444943
1972,英雄,0.2534850699783758
1972,安排,0.2534807873673217
1972,组织,0.25322500798244807
1972,负责,0.2530318258200274
1972,全体,0.2528883302800877
1972,担任,0.2526707718538683
1972,医院,0.2526087358074133
1972,发现,0.25248184046426486
1972,影片,0.25214117600820785
1972,指示,0.25130017890140066
1972,鼓舞,0.2510298648415956
1972,大队,0.2498275014290283
1972,批评,0.24815651349896609
1972,运动员,0.24811999460812226
1972,学校,0.24786897012314132
1972,汽车,0.24761931552703298
1972,训练,0.24698473560775436
1972,演出,0.2468478797696704
1972,公社,0.24684436043161292
1972,感谢,0.24653730116957842
1972,体会,0.2462841160595417
1972,农民,0.24511731359674488
1972,领导,0.2450791035107402
1972,人民,0.2431760456326396
1972,感情,0.2420539008670075
1972,工农兵,0.24169305283143078
1972,生产队,0.24162999945584424
1972,成就,0.2414757417471603
1972,访问,0.24061231938905495
1972,小组,0.24048395095349745
